Domeniu,IP,Organizație,Companie identificată
secure.quantserve.com,91.228.74.159,"AS16509 Amazon.com, Inc.",amazon
vtrk.doubleverify.com,172.64.145.17,"AS13335 Cloudflare, Inc.",necunoscut
img.connatix.com,172.64.146.152,"AS13335 Cloudflare, Inc.",necunoscut
cl.qualaroo.com,185.102.217.65,AS60068 Datacamp Limited,necunoscut
b-code.liadm.com,3.160.246.48,"AS16509 Amazon.com, Inc.",amazon
ssc-cms.33across.com,67.202.105.24,AS32748 Steadfast,necunoscut
sync.1rx.io,46.228.174.117,AS56396 NEXXEN GROUP LTD,necunoscut
us-u.openx.net,34.98.64.218,AS396982 Google LLC,google
cm.ctnsnet.com,35.186.193.173,AS396982 Google LLC,google
ib.adnxs.com,37.252.171.52,AS29990 Xandr Inc.,adnxs
secure-assets.rubiconproject.com,104.96.128.188,"AS16625 Akamai Technologies, Inc.",rubicon
token.rubiconproject.com,69.173.144.165,"AS26667 Magnite, Inc.",rubicon
gcm.ctnsnet.com,35.186.193.173,AS396982 Google LLC,google
mc.yandex.ru,87.250.251.119,AS13238 YANDEX LLC,necunoscut
cks.connatix.com,104.18.41.104,"AS13335 Cloudflare, Inc.",necunoscut
rp.liadm.com,52.55.127.43,"AS14618 Amazon.com, Inc.",amazon
dsum-sec.casalemedia.com,104.18.27.193,"AS13335 Cloudflare, Inc.",casalemedia
